t,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,tau_ext0,tau_ext1,tau_ext2,tau_ext3,tau_ext4,tau_ext5,tau_ext6,tau_cmd0,tau_cmd1,tau_cmd2,tau_cmd3,tau_cmd4,tau_cmd5,tau_cmd6,sigma_min,tau_ext_max
0.00000000,-0.00023189,-0.79053951,-0.00012692,-2.22801702,-0.00098879,1.58692742,0.78542821,0.00106741,-0.03823016,-0.00082056,0.40842346,0.00080639,0.06063114,0.00034802,0.11313453,-1.10924730,-0.26209001,0.20401620,0.68416831,0.17555557,-0.05836193,0.01348524,-1.58528979,-0.57698317,1.03082722,0.78149302,0.42615854,-0.03271969,0.21588334,1.10924730
0.00100063,-0.00023166,-0.79058278,-0.00012921,-2.22760530,-0.00098878,1.58698708,0.78543200,0.00127721,-0.03957704,-0.00141939,0.40948609,0.00079188,0.06055137,0.00176514,0.11317711,-1.11440218,-0.26191013,0.20598116,0.68500744,0.17609947,-0.05830085,0.07082742,-1.06164634,-0.47450682,0.47440828,0.78326583,0.41654073,-0.04275155,0.21585163,1.11440218
0.00200125,-0.00022616,-0.79061514,-0.00013101,-2.22719832,-0.00099115,1.58704397,0.78543048,0.00256236,-0.03691206,-0.00198764,0.40763290,0.00037738,0.05912106,0.00063903,0.11218763,-1.11825850,-0.26317836,0.20912141,0.68581615,0.17681469,-0.05822498,0.11316525,-0.59434014,-0.37289841,-0.04145522,0.78799153,0.41673461,-0.03471969,0.21582028,1.11825850
0.00300188,-0.00022613,-0.79065499,-0.00013221,-2.22679092,-0.00099029,1.58710237,0.78542973,0.00208993,-0.03740560,-0.00214575,0.40927185,0.00063697,0.05813368,0.00022100,0.11053788,-1.12408275,-0.26503917,0.21519605,0.68667946,0.17778344,-0.05817130,0.18186379,-0.08114787,-0.27644321,-0.54946178,0.78790529,0.41351287,-0.03164773,0.21578887,1.12408275
0.00400251,-0.00022770,-0.79069829,-0.00013479,-2.22638513,-0.00099028,1.58715863,0.78543048,0.00084868,-0.03874253,-0.00186127,0.40854955,-0.00038441,0.05719452,0.00047587,0.10873478,-1.13091674,-0.26698345,0.22358756,0.68763020,0.17893475,-0.05816214,0.26243016,0.44511498,-0.18568416,-0.67301417,0.79688470,0.41009654,-0.03334919,0.21575756,1.13091674
0.00500313,-0.00022712,-0.79073173,-0.00013847,-2.22596941,-0.00098801,1.58721346,0.78542670,0.00127513,-0.03728456,-0.00261833,0.41010485,0.00041829,0.05601493,-0.00095330,0.10728711,-1.13641168,-0.26855971,0.23284950,0.68866862,0.18017171,-0.05820032,0.31990795,0.93217892,-0.08107911,-0.82928281,0.79300560,0.40844065,-0.02302487,0.21572547,1.13641168
0.00600376,-0.00022759,-0.79076720,-0.00014005,-2.22556526,-0.00098580,1.58726625,0.78542442,0.00122094,-0.03636165,-0.00209724,0.40977211,0.00106484,0.05583027,-0.00106840,0.10619234,-1.14202589,-0.26979941,0.24315771,0.68977520,0.18152159,-0.05826883,0.38529144,1.09761372,0.00589386,-0.95784900,0.79029737,0.39994663,-0.02196056,0.21569426,1.14202589
0.00700438,-0.00022975,-0.79080730,-0.00014503,-2.22515492,-0.00098448,1.58732439,0.78542973,0.00028231,-0.03708074,-0.00341168,0.40892327,0.00134226,0.05729869,0.00125288,0.10549067,-1.14904030,-0.27063257,0.25497790,0.69091739,0.18306124,-0.05832256,0.46383462,1.25564969,0.11862171,-1.07986727,0.79023852,0.37956265,-0.03831268,0.21566254,1.14904030
0.00800501,-0.00022767,-0.79084589,-0.00014753,-2.22475458,-0.00098332,1.58738377,0.78542897,0.00129798,-0.03717513,-0.00260559,0.40692019,0.00145871,0.05899696,0.00062997,0.10525740,-1.15683592,-0.27090014,0.26849531,0.69204512,0.18487743,-0.05832947,0.51558122,1.40546273,0.20142607,-1.18455829,0.79139260,0.35755360,-0.03374187,0.21563158,1.15683592
0.00900564,-0.00022498,-0.79088379,-0.00015223,-2.22434588,-0.00098181,1.58744325,0.78543124,0.00227547,-0.03745007,-0.00328204,0.40761328,0.00126823,0.05978922,0.00123897,0.10487658,-1.16434606,-0.27139839,0.28312868,0.69304313,0.18696196,-0.05830620,0.56843032,1.55598857,0.30478535,-1.32788499,0.79469724,0.34177734,-0.03792565,0.21559995,1.16434606
0.01000626,-0.00022846,-0.79091842,-0.00015251,-2.22393942,-0.00098110,1.58751339,0.78543124,0.00063469,-0.03777791,-0.00196777,0.40700794,0.00136581,0.06295813,0.00094857,0.10397165,-1.16986274,-0.27282154,0.29690687,0.69379238,0.18912320,-0.05828745,0.65994979,1.70711986,0.38113434,-1.45263250,0.79612398,0.30885956,-0.03568287,0.21556846,1.16986274
0.01100689,-0.00023038,-0.79094518,-0.00015646,-2.22354140,-0.00097959,1.58758321,0.78542745,-0.00026773,-0.03486541,-0.00249361,0.40655310,0.00154574,0.06587862,-0.00068262,0.10304214,-1.17395252,-0.27494790,0.30862281,0.69427561,0.19114739,-0.05830035,0.74134983,1.81323430,0.48282391,-1.57835417,0.79694546,0.27778796,-0.02385992,0.21553761,1.17395252
0.01200752,-0.00022823,-0.79096808,-0.00015402,-2.22314914,-0.00097873,1.58765270,0.78542897,0.00037977,-0.03141843,-0.00189289,0.40198993,0.00092232,0.06714776,0.00012898,0.10245368,-1.18266822,-0.27745114,0.32057567,0.69459524,0.19305628,-0.05834216,0.80142049,1.91390019,0.56783525,-1.64594582,0.80347054,0.25842498,-0.02939986,0.21550719,1.18266822
