t,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,ddq0,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6,tau0,tau1,tau2,tau3,tau4,tau5,tau6
0.000000000000000000e+00,3.883000000000000340e-02,6.812150000000000150e-01,-3.408200000000000118e-02,-2.716048999999999936e+00,-2.360999999999999904e-02,3.663628999999999802e+00,-1.858980000000000077e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-03,3.883000007555538480e-02,6.812149984771360689e-01,-3.408199973576547803e-02,-2.716048993634066377e+00,-2.360999995238921914e-02,3.663628994616487056e+00,-1.858979996797143763e-01,2.265727536389331821e-07,-4.566709023215573330e-06,7.923768964535575248e-07,1.908993046274971874e-05,1.427734773392287153e-07,-1.614388203381219371e-05,9.604609023115946242e-07,4.527719330756587086e-04,-9.125888435510756333e-03,1.583447318222113136e-03,3.814838536002087416e-02,2.853115491098849555e-04,-3.226114596039633686e-02,1.919338192253342837e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-03,3.883000060369608264e-02,6.812149878321454022e-01,-3.408199788873633035e-02,-2.716048949135472235e+00,-2.360999961958449786e-02,3.663628956985126806e+00,-1.858979974408817293e-01,9.047973336977714110e-07,-1.823673006403798437e-05,3.164283841195715081e-06,7.623387148614229778e-05,5.701526752204130300e-07,-6.446909959439465717e-05,3.835511770834380055e-06,9.033042687906794486e-04,-1.820663645007092671e-02,3.159062250698692516e-03,7.610807301834338068e-02,5.692118292216995744e-04,-6.436271494159863382e-02,3.829182543489768799e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000062e-03,3.883000203495470815e-02,6.812149589842738662e-01,-3.408199288329656629e-02,-2.716048828544503912e+00,-2.360999871768535568e-02,3.663628855004327445e+00,-1.858979913736563405e-01,2.032435990668484879e-06,-4.096495994608838803e-05,7.107894910845416510e-06,1.712432810596523720e-04,1.280727489058847566e-06,-1.448162073667276343e-04,8.615666597753600348e-06,1.351600702850277872e-03,-2.724231853282398780e-02,4.726857722158691461e-03,1.138793743573135592e-01,8.517031691621732969e-04,-9.630497027195539239e-02,5.729548720113596463e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-03,3.883000481762802908e-02,6.812149028978331522e-01,-3.408198315164961273e-02,-2.716048594089834456e+00,-2.360999696420026245e-02,3.663628656731812150e+00,-1.858979795776708188e-01,3.607254670748257746e-06,-7.270636998213141674e-05,1.261539710675055403e-05,3.039299285551006315e-04,2.273090143096555638e-06,-2.570260233641397671e-04,1.529145504165881281e-05,1.797664930959668979e-03,-3.623300917291342321e-02,6.286846657331061558e-03,1.514626007592774493e-01,1.132787897758035563e-03,-1.280881752798150863e-01,7.620452388529144402e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,3.883000939778056410e-02,6.812148105821260735e-01,-3.408196713380547832e-02,-2.716048208188210911e+00,-2.360999407804429892e-02,3.663628330384353760e+00,-1.858979601620201483e-01,5.627023015839493324e-06,-1.134160059740751974e-04,1.967899035498797957e-05,4.741058947266538247e-04,3.545835190402291484e-06,-4.009396289283083089e-04,2.385342242754390305e-05,2.241500648824068694e-03,-4.517878285948272177e-02,7.839041980944755697e-03,1.888580636065810281e-01,1.412468343836016139e-03,-1.597125932935262727e-01,9.501909215140730974e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000125e-03,3.883001621924835056e-02,6.812146730913730686e-01,-3.408194327756774306e-02,-2.716047633444144349e+00,-2.360998977953681841e-02,3.663627844337512318e+00,-1.858979312452461730e-01,8.089514363549803069e-06,-1.630489882129713345e-04,2.829088750636349724e-05,6.815835717108246605e-04,5.097559512871537395e-06,-5.763983687292590329e-04,3.429212974680706484e-05,2.683111552148693697e-03,-5.407971408167536187e-02,9.383456617728732838e-03,2.260660742815704394e-01,1.690746836222844357e-03,-1.911784876414374668e-01,1.137393486635267410e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000146e-03,3.883002572364259442e-02,6.812144815246368168e-01,-3.408191003852071438e-02,-2.716046832649599452e+00,-2.360998379039913608e-02,3.663627167125371731e+00,-1.858978909553219427e-01,1.099250574719202744e-05,-2.215605114790149168e-04,3.844331433641185743e-05,9.261756630264720517e-04,6.926862321226506481e-06,-7.832438507653661239e-04,4.659815365725080604e-05,3.122501336638757417e-03,-6.293587732863484274e-02,1.092010349241193633e-02,2.630869441665916186e-01,1.967625703745249765e-03,-2.224861216518970730e-01,1.323654500856928998e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000167e-03,3.883003835035338941e-02,6.812142270257475207e-01,-3.408186588001642370e-02,-2.716045768783679204e+00,-2.360997583375219061e-02,3.663626267440276418e+00,-1.858978374296360592e-01,1.433377789578420328e-05,-2.889058450415443887e-04,5.012850954539676017e-05,1.207695183574800492e-03,9.032345155016138002e-06,-1.021317946363352151e-03,6.076208648308196558e-05,3.559673697999476971e-03,-7.174734708950460116e-02,1.244899552972332513e-02,2.999209846439906957e-01,2.243107275229961912e-03,-2.536357586532536623e-01,1.508975530819489999e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000001055e-03,3.883005453655341555e-02,6.812139007832295201e-01,-3.408180927316176861e-02,-2.716044405012316698e+00,-2.360996563411421958e-02,3.663625114132565752e+00,-1.858977688149768548e-01,1.811111523404960406e-05,-3.650403326590420921e-04,6.333872475831088392e-05,1.525955459639361574e-03,1.141261188261611008e-05,-1.290462790178288719e-03,7.677453621491172697e-05,3.994632331936066871e-03,-8.051419785342817104e-02,1.397014565439185299e-02,3.365685070961136893e-01,2.517193879503709479e-03,-2.846276619738558611e-01,1.693358143163382554e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,3.883007471720158893e-02,6.812134940302257968e-01,-3.408173869680553025e-02,-2.716042704687965159e+00,-2.360995291739842114e-02,3.663623676210316482e+00,-1.858976832675169610e-01,2.232230588241670006e-05,-4.499193925791331690e-04,7.806622452487584497e-05,1.880770128886051062e-03,1.406626870122881428e-05,-1.590520780193595057e-03,9.462612650975549635e-05,4.427380934153744667e-03,-8.923650410954900303e-02,1.548356679114646847e-02,3.730298229053064518e-01,2.789887845393223317e-03,-3.154620949420519072e-01,1.876803904529037587e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.099999999999999936e-02,3.883009932504684347e-02,6.812129980444234789e-01,-3.408165263752551549e-02,-2.716040631349282197e+00,-2.360993741091063983e-02,3.663621922839073175e+00,-1.858975789527973765e-01,2.696514165701919058e-05,-5.434985175385869706e-04,9.430328631954215332e-05,2.271953140363112793e-03,1.699192413688338187e-05,-1.921334577721039863e-03,1.143074966910330990e-04,4.857923200357723570e-03,-9.791434034701058942e-02,1.698927186471612533e-02,4.093052434539152795e-01,3.061191501725231672e-03,-3.461393208861904824e-01,2.059314381556887411e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000025e-02,3.883012879063173911e-02,6.812124041479806769e-01,-3.408154958961556041e-02,-2.716038148720820722e+00,-2.360991884334702126e-02,3.663619823341586645e+00,-1.858974540457121183e-01,3.203741806969598695e-05,-6.457332747633157295e-04,1.120422005414894296e-04,2.699318754501135644e-03,2.018818904443568131e-05,-2.282747107400739679e-03,1.358093017485686776e-04,5.286262826253220262e-03,-1.065477810549564364e-01,1.848727379982978425e-02,4.453950801242861357e-01,3.331107177326464528e-03,-3.766596031346201023e-01,2.240891140887364338e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000114e-02,3.883016354229622269e-02,6.812117037074502113e-01,-3.408142805507265866e-02,-2.716035220712718523e+00,-2.360989694479169107e-02,3.663617347197554164e+00,-1.858973067304922344e-01,3.753693432799122445e-05,-7.565793059683759147e-04,1.312752705146260864e-04,3.162681543113055049e-03,2.365367660756830803e-05,-2.674601557201160187e-03,1.591222123385906248e-04,5.712403507545451425e-03,-1.151369007225299945e-01,1.997758552121639206e-02,4.812996442987649837e-01,3.599637201023652300e-03,-4.070232050156892822e-01,2.421535749160899642e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000029e-02,3.883020400618127088e-02,6.812108881337062272e-01,-3.408128654358401344e-02,-2.716031811420385189e+00,-2.360987144671443730e-02,3.663614464043351671e+00,-1.858971352006903444e-01,4.346149333515420465e-05,-8.759923273579662802e-04,1.519948124875894913e-04,3.661856389394150396e-03,2.738700233879055228e-05,-3.096741378419114697e-03,1.842369147837316504e-04,6.136348939939629404e-03,-1.236817738388747562e-01,2.146021995360489903e-02,5.170192473596978422e-01,3.866783901643522370e-03,-4.372303898577463710e-01,2.601249773017925287e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.499999999999999944e-02,3.883025060623263025e-02,6.812099488818692539e-01,-3.408112357251411040e-02,-2.716027885124192132e+00,-2.360984208196836853e-02,3.663611143671771320e+00,-1.858969376591648737e-01,4.980890169013952082e-05,-1.003928129625430033e-03,1.741931556337461291e-04,4.196658487922049798e-03,3.138678407943848214e-05,-3.549010285679765012e-03,2.111441110730288362e-04,6.558102819140972616e-03,-1.321824748931341997e-01,2.293519002172426241e-02,5.525542006894308411e-01,4.132549608012806887e-03,-4.672814209891399395e-01,2.780034779098872547e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000033e-02,3.883030376420449487e-02,6.812088774512323752e-01,-3.408093766689179044e-02,-2.716023406289160391e+00,-2.360980858478757896e-02,3.663607356031761686e+00,-1.858967123180645109e-01,5.657696968760693933e-05,-1.140342577953253967e-03,1.978626420511912765e-04,4.766903344656727923e-03,3.565164199967487915e-05,-4.031252256936622945e-03,2.398345188619235813e-04,6.977668840854696006e-03,-1.406390783744518036e-01,2.440250865030343247e-02,5.879048156703100547e-01,4.396936648958233232e-03,-4.971765617382187252e-01,2.957892334044174426e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000122e-02,3.883036389966317697e-02,6.812076653851856234e-01,-3.408072735939738501e-02,-2.716018339564647999e+00,-2.360977069078483773e-02,3.663603071228158647e+00,-1.858964573988124147e-01,6.376351131792145385e-05,-1.285191612013067810e-03,2.229956267627492873e-04,5.372406776940501227e-03,4.018019859848924165e-05,-4.543311533471546849e-03,2.702988714722616838e-04,7.395050700786015389e-03,-1.490516587719711017e-01,2.586218876407136991e-02,6.230714036846813908e-01,4.659947353306531821e-03,-5.269160754333309660e-01,3.134824004494261851e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000211e-02,3.883043142999086095e-02,6.812063042711424821e-01,-3.408049119034967100e-02,-2.716012649784041777e+00,-2.360972813694924011e-02,3.663598259521427813e+00,-1.858961711320904764e-01,7.136634426715324469e-05,-1.438431245965644768e-03,2.495844777159732936e-04,6.012984913498038361e-03,4.497107870369781535e-05,-5.085032619894746392e-03,3.025279178922929608e-04,7.810252094640145713e-03,-1.574202905748355030e-01,2.731424328775701807e-02,6.580542761148910902e-01,4.921584049884431336e-03,-5.565002254028251771e-01,3.310831357089567828e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.899999999999999953e-02,3.883050677038923926e-02,6.812047857404651685e-01,-3.408022770769305460e-02,-2.716006301964443370e+00,-2.360968066164390033e-02,3.663592891327396295e+00,-1.858958517578239711e-01,7.938328991707773981e-05,-1.600017568460901200e-03,2.776215757831454771e-04,6.688454194436343689e-03,5.002290947194354583e-05,-5.656260284144773443e-03,3.365124227766718183e-04,8.223276718122301057e-03,-1.657450482721884999e-01,2.875868514608933071e-02,6.928537443432848386e-01,5.181849067518661325e-03,-5.859292749750499851e-01,3.485915958470521547e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,3.883059033388324560e-02,6.812031014683892494e-01,-3.407993546698460247e-02,-2.715999261306357493e+00,-2.360962800460360625e-02,3.663586937216992467e+00,-1.858954975251655151e-01,8.781217334517560803e-05,-1.769906742637899003e-03,3.070993147612771233e-04,7.398631371244783310e-03,5.533432038869615311e-05,-6.256839557488538123e-03,3.722431664464569525e-04,8.634128266937702439e-03,-1.740260063531736401e-01,3.019552726379726507e-02,7.274701197522088769e-01,5.440744735035953940e-03,-6.152034874783536278e-01,3.660079375277557751e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000130e-02,3.883068253132473946e-02,6.812012431739508100e-01,-3.407961303138113546e-02,-2.715991493193384176e+00,-2.360956990693249477e-02,3.663580367915983071e+00,-1.858951066924796336e-01,9.665082332463265059e-05,-1.948055006124840621e-03,3.380101013721083236e-04,8.143333506795054702e-03,6.090394326825205711e-05,-6.886615734521291457e-03,4.097109448891113228e-04,9.042810436791557868e-03,-1.822632393069343604e-01,3.162478256560977835e-02,7.619037137240094459e-01,5.698273381263034391e-03,-6.443231262410851201e-01,3.833323174151107710e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.199999999999999872e-02,3.883078377139619064e-02,6.811992026199105155e-01,-3.407925897162625284e-02,-2.715982963191903021e+00,-2.360950611110172737e-02,3.663573154304705870e+00,-1.858946775273271068e-01,1.058970723243399096e-04,-2.134418671039073605e-03,3.703463552621077850e-04,8.922377975341209272e-03,6.673041225373438443e-05,-7.545434373166633180e-03,4.489065697585022064e-04,9.449326923389088362e-03,-1.904568216226141253e-01,3.304646397625580351e-02,7.961548376410321204e-01,5.954437335026634831e-03,-6.732884545915924779e-01,4.005648921731602002e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.299999999999999961e-02,3.883089446061441241e-02,6.811969716126802243e-01,-3.407887186603746760e-02,-2.715973637050764111e+00,-2.360943636094715511e-02,3.663565267417812077e+00,-1.858942083064490658e-01,1.155487565088937629e-04,-2.328954123987089526e-03,4.041005090024740233e-04,9.735582462519640212e-03,7.281236381709306320e-05,-8.233141294676516939e-03,4.898208683749011435e-04,9.853681422435508000e-03,-1.986068277893564549e-01,3.446058442046432552e-02,8.302238028856233631e-01,6.209238925153483940e-03,-7.020997358582244940e-01,4.177058184659472595e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000050e-02,3.883101500333419054e-02,6.811945420022471609e-01,-3.407845030049327234e-02,-2.715963480700976262e+00,-2.360936040166699071e-02,3.663556678443996795e+00,-1.858936973157516159e-01,1.256037157385956260e-04,-2.531617826064521803e-03,4.392650080891336820e-04,1.058276496534909378e-02,7.914843675910468077e-05,-8.949582583631239888e-03,5.324446837249844798e-04,1.025587762963603260e-02,-2.067133322963048137e-01,3.586715682296427732e-02,8.641109208401291930e-01,6.462680480470312135e-03,-7.307572333693296285e-01,4.347552529575152841e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,3.883114580175204417e-02,6.811919056821006402e-01,-3.407799286842017744e-02,-2.715952460255396161e+00,-2.360927797981949433e-02,3.663547358725742331e+00,-1.858931428502899885e-01,1.360597935694523176e-04,-2.742366312856149395e-03,4.758323109427427798e-04,1.146374379223065454e-02,8.573727220937261929e-05,-9.694604587939451359e-03,5.767688744618320110e-04,1.065591924069587450e-02,-2.147764096326026939e-01,3.726619410848461267e-02,8.978165028868952957e-01,6.714764329803848963e-03,-7.592612104532562300e-01,4.517133523119073318e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.600000000000000228e-02,3.883128725590990343e-02,6.811890545891572391e-01,-3.407749817077982551e-02,-2.715940542008414393e+00,-2.360918884332061096e-02,3.663537279759048637e+00,-1.858925432142529421e-01,1.469148372531756130e-04,-2.961156194435892678e-03,5.137948889086861679e-04,1.237833756294775579e-02,9.257751362632689980e-05,-1.046805391883814593e-02,6.227843149049282299e-04,1.105380995132025645e-02,-2.227961342873936157e-01,3.865770920175428532e-02,9.313408604082679121e-01,6.965492801980823108e-03,-7.876119304383529807e-01,4.685802731931665993e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.699999999999999969e-02,3.883143976369877320e-02,6.811859807036861891e-01,-3.407696481605604344e-02,-2.715927692435648577e+00,-2.360909274144168055e-02,3.663526413193173958e+00,-1.858918967209471085e-01,1.581666977371827315e-04,-3.187944155366814747e-03,5.531452262570773137e-04,1.332636520866617089e-02,9.966780679722430421e-05,-1.126977745089265993e-02,6.704818950401621094e-04,1.144955345721438734e-02,-2.307725807498209325e-01,4.004171502750224210e-02,9.646843047865930609e-01,7.214868225827962382e-03,-8.158096566529682292e-01,4.853561722653362831e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.800000000000000058e-02,3.883160372086248008e-02,6.811826760492346589e-01,-3.407639142024192908e-02,-2.715913878193628062e+00,-2.360898942480708224e-02,3.663514730830369714e+00,-1.858912016927812549e-01,1.698132296645960113e-04,-3.422686954701127920e-03,5.938758201827596013e-04,1.430764597193404097e-02,1.070067998381484431e-04,-1.209962232199670272e-02,7.198525205198272109e-04,1.184315345408348472e-02,-2.387058235090283032e-01,4.141822451045745063e-02,9.978471474042168721e-01,7.462892930171998070e-03,-8.438546524254504355e-01,5.020412061924595104e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.900000000000000147e-02,3.883177952100132918e-02,6.811791326925537016e-01,-3.407577660682692411e-02,-2.715899066119483951e+00,-2.360887864539192374e-02,3.663502204625619818e+00,-1.858904564612506860e-01,1.818522913742430720e-04,-3.665341425980179427e-03,6.359791808053043803e-04,1.532199940668182124e-02,1.145931431940095253e-04,-1.295743593337230284e-02,7.708871126626207085e-04,1.223461363763276612e-02,-2.465959370541590256e-01,4.278725057534887161e-02,1.030829699643485586e+00,7.709569243839662321e-03,-8.717471810841485036e-01,5.186355316385796860e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-02,3.883196755557579566e-02,6.811753427435234265e-01,-3.407511900678388689e-02,-2.715883223230638688e+00,-2.360876015651969598e-02,3.663488806686371557e+00,-1.858896593669215613e-01,1.942817449006566794e-04,-3.915864477234467893e-03,6.794478311690123210e-04,1.636924537822233988e-02,1.224254896385445341e-04,-1.384306594956985319e-02,8.235766084536443651e-04,1.262393770356744563e-02,-2.544429958743567033e-01,4.414880614690542410e-02,1.063632272886744223e+00,7.954899495657679481e-03,-8.994875059574104492e-01,5.351393052677396595e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.099999999999999978e-02,3.883216821391026474e-02,6.811712983550790579e-01,-3.407441725855616527e-02,-2.715866316724492968e+00,-2.360863371285994161e-02,3.663474509272278468e+00,-1.858888087594152139e-01,2.070994559740747993e-04,-4.174213090983629020e-03,7.242743072429131974e-04,1.744920406325075474e-02,1.305024942743171999e-04,-1.475636029846809187e-02,8.779119605444046402e-04,1.301112934759273733e-02,-2.622470744587648284e-01,4.550290414985608267e-02,1.096255178516339912e+00,8.198886014452781701e-03,-9.270758903735850653e-01,5.515526837439828356e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
