t,x,y,z,vx,vy,vz,wx,wy,wz,tvx,tvy,tvz
0.000000000000000000e+00,6.229218148397244192e-01,5.060755878367800831e-02,8.861560124567414987e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.991258046111646009e-04,6.229218606169952821e-01,5.060757404146229432e-02,8.861564458133995570e-02,2.220296933180475026e-04,9.483331414915973441e-05,-4.899059318904131497e-04,1.041351384012847276e-04,3.706217896040251911e-04,1.778443794036802666e-04,2.220296933180475026e-04,9.483331414915973441e-05,-4.899059318904131497e-04
1.998251609222329202e-03,6.229221808174221220e-01,5.060768076618242517e-02,8.861594770389771836e-02,8.877338256712490700e-04,3.791654739773676550e-04,-1.958766404716962874e-03,4.163577184626862746e-04,1.481840786870448467e-03,7.110662038931260141e-04,8.877338256712490700e-04,3.791654739773676550e-04,-1.958766404716962874e-03
2.997377413833493803e-03,6.229230496225725000e-01,5.060797034748668738e-02,8.861677017613606155e-02,1.997131599495383537e-03,8.529866722671477879e-04,-4.406581277123045558e-03,9.366644908330328846e-04,3.333668701187193079e-03,1.599664937092437058e-03,1.997131599495383537e-03,8.529866722671477879e-04,-4.406581277123045558e-03
3.996503218444658403e-03,6.229247412098718462e-01,5.060853418419709177e-02,8.861837157193007408e-02,3.550272927218287543e-03,1.516271417937786400e-03,-7.833350181060304979e-03,1.665047009344534272e-03,5.926135968285166367e-03,2.843639184832059616e-03,3.550272927218287543e-03,1.516271417937786400e-03,-7.833350181060304979e-03
4.995629023055822571e-03,6.229275297478299445e-01,5.060946369488980578e-02,8.862101148902763736e-02,5.547253781164320982e-03,2.368970698664255546e-03,-1.223907240639435928e-02,2.601489032771206987e-03,9.259301109640955332e-03,4.442986266459046998e-03,5.547253781164320982e-03,2.368970698664255546e-03,-1.223907240639435928e-02
5.994754827666987605e-03,6.229316893893512841e-01,5.061085033270704137e-02,8.862494956694738635e-02,7.988231543982149407e-03,3.411004146765157785e-03,-1.762374678172424353e-02,3.745963925238658850e-03,1.333326009099455520e-02,6.397701786250311815e-03,7.988231543982149407e-03,3.411004146765157785e-03,-1.762374678172424353e-02
6.993880632278152640e-03,6.229374942631379364e-01,5.061278560439974594e-02,8.863044550998955273e-02,1.087344035998130155e-02,4.642252210768038796e-03,-2.398737154862649879e-02,5.098432054291767226e-03,1.814815567933018500e-02,8.707779205004966688e-03,1.087344035998130155e-02,4.642252210768038796e-03,-2.398737154862649879e-02
7.993006436889316807e-03,6.229452184631736333e-01,5.061536109360324776e-02,8.863775911535380636e-02,1.420320648787154992e-02,6.062548335748955616e-03,-3.132994422573858601e-02,6.658838185342892332e-03,2.370418679748140939e-02,1.137320941191369110e-02,1.420320648787154992e-02,6.062548335748955616e-03,-3.132994422573858601e-02
8.992132241500480974e-03,6.229551360362926005e-01,5.061866848834536969e-02,8.864715030636795279e-02,1.797796365550868164e-02,7.671671156231902114e-03,-3.965146145829988311e-02,8.427108870939494997e-03,3.000161787533511121e-02,1.439398029682536009e-02,1.797796365550868164e-02,7.671671156231902114e-03,-3.965146145829988311e-02
