t,x,y,z,vx,vy,vz,wx,wy,wz,tvx,tvy,tvz
0.000000000000000000e+00,7.706695674418650999e-01,-9.752101872348192813e-02,4.750889101644020229e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.999330431871439068e-04,7.706695772663549882e-01,-9.752106036566311753e-02,4.750888879554381328e-01,1.859106720550867526e-04,3.684780970661777322e-04,-3.753342063229224597e-04,-1.089834027524046655e-04,2.526561898412014355e-04,2.354781756137384603e-04,1.859106720550867526e-04,3.684780970661777322e-04,-3.753342063229224597e-04
1.999866086374287814e-03,7.706696460336025511e-01,-9.752135184448290639e-02,4.750887325016449614e-01,7.436169056246142578e-04,1.473862247427392205e-03,-1.501289881265800838e-03,-4.359183484324633115e-04,1.010592204742136917e-03,9.418808772966325580e-04,7.436169056246142578e-04,1.473862247427392205e-03,-1.501289881265800838e-03
2.999799129561431937e-03,7.706698326804271026e-01,-9.752214298225445055e-02,4.750883105673728846e-01,1.673113960086422417e-03,3.316148201460049696e-03,-3.377884818794048023e-03,-9.808012626937806858e-04,2.273814910869414486e-03,2.119206555219105715e-03,1.673113960086422417e-03,3.316148201460049696e-03,-3.377884818794048023e-03
3.999732172748575627e-03,7.706701961371450471e-01,-9.752368360914023815e-02,4.750874889178094973e-01,2.974389509993450274e-03,5.895324910140831154e-03,-6.005165282105946051e-03,-1.743622852194141870e-03,4.042342159764603440e-03,3.767451179719908880e-03,2.974389509993450274e-03,5.895324910140831154e-03,-6.005165282105946051e-03
4.999665215935719317e-03,7.706707953200681027e-01,-9.752622357220812332e-02,4.750861343199490050e-01,4.647419852449768615e-03,9.211371124638968733e-03,-9.383220237464861418e-03,-2.724365244368593363e-03,6.316208280519561812e-03,5.886607000785309615e-03,4.647419852449768615e-03,9.211371124638968733e-03,-9.383220237464861418e-03
5.999598259122863875e-03,7.706716891210014797e-01,-9.753001274811057275e-02,4.750841135439437535e-01,6.692166113918684642e-03,1.326425199445950553e-02,-1.351219558730068493e-02,-3.922999125741340881e-03,9.095469571289744801e-03,8.476661306370796706e-03,6.692166113918684642e-03,1.326425199445950553e-02,-1.351219558730068493e-02
6.999531302310007565e-03,7.706729363937382393e-01,-9.753530105938525152e-02,4.750812933648486114e-01,9.108570456044531860e-03,1.805391566307001927e-02,-1.839230840204185077e-02,-5.339480877699916833e-03,1.238020978965746408e-02,1.153759517871238982e-02,9.108570456044531860e-03,1.805391566307001927e-02,-1.839230840204185077e-02
7.999464345497151255e-03,7.706745959375512767e-01,-9.754233849437840553e-02,4.750775405647506000e-01,1.189655227995031241e-02,2.358028985963898233e-02,-2.402386114998560432e-02,-6.973749708347685636e-03,1.617054564121780946e-02,1.506938224753133493e-02,1.189655227995031241e-02,2.358028985963898233e-02,-2.402386114998560432e-02
8.999397388684295812e-03,7.706767308615615208e-01,-9.755135038838519401e-02,4.750727211669406036e-01,1.528164666802422564e-02,2.980070380699012880e-02,-3.049042342720762258e-02,-8.798866058393948336e-03,2.062957251049346227e-02,1.906144646153907357e-02,1.528164666802422564e-02,2.980070380699012880e-02,-3.049042342720762258e-02
