t,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,ddq0,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6
0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,-2.700000000000000178e-01,0.000000000000000000e+00,3.140000000000000124e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,-2.321774689720920111e-10,-9.999979667694367524e-01,2.982282064496968681e-10,-2.699998527711395258e-01,1.038328487951086615e-09,3.139997675992437287e+00,1.398488508641798362e-09,-6.950654275665125735e-08,6.086845019951007225e-04,8.928003080835936084e-08,4.407563374330924875e-05,3.108424937300709189e-07,-6.957338786381364517e-04,4.186629381005124582e-07,-1.384267883230922454e-05,1.212234667004204319e-01,1.778069723516104139e-05,8.777948349052891452e-03,6.190629885310632431e-05,-1.385599146897998901e-01,8.337943970838302874e-05
2.000000000000000042e-02,-1.845703698966432124e-09,-9.999838367556164176e-01,2.370776571117216790e-09,-2.699988295985240039e-01,8.254232158865949492e-09,3.139981525212701463e+00,1.111733806380876185e-08,-2.756859277627145738e-07,2.414243968870793434e-03,3.541141185839081923e-07,1.748185350377113255e-04,1.232904096123382966e-06,-2.759510575570273041e-03,1.660555624442404457e-06,-2.733506299957746678e-05,2.393793238595562367e-01,3.511144663452830142e-05,1.733376711510182730e-02,1.222460334245895476e-04,-2.736135139118823778e-01,1.646489284991891960e-04
2.999999999999999889e-02,-6.189841834194594716e-09,-9.999457941562787111e-01,7.950751795993803641e-09,-2.699960748845965930e-01,2.768179505448996383e-08,3.139938042053357137e+00,3.728364648712715691e-08,-6.150500448586316796e-07,5.386132231717366721e-03,7.900218422014208228e-07,3.900168161996644695e-04,2.750585515121944420e-06,-6.156415443711703815e-03,3.704667915377304950e-06,-4.048011979997507393e-05,3.544935567780346242e-01,5.199605964464422598e-05,2.566933792744639092e-02,1.810324738660977256e-04,-4.051904991847412596e-01,2.438263394778981507e-04
4.000000000000000083e-02,-1.457912228218110222e-08,-9.998723273315877069e-01,1.872664694414557825e-08,-2.699907550565958103e-01,6.519977180357105605e-08,3.139854068568364465e+00,8.781530381901358357e-08,-1.084140456866548300e-06,9.494062974631383572e-03,1.392560895001095996e-06,6.874774058386230475e-04,4.848420160184246076e-06,-1.085183085116266447e-02,6.530168398311641732e-06,-5.328081653167239995e-05,4.665921507564828041e-01,6.843834771205123391e-05,3.378654241538615877e-02,2.382788903292788600e-04,-5.333205720268704431e-01,3.209295457499896503e-04
5.000000000000000278e-02,-2.829363944358042347e-08,-9.997522262056013354e-01,3.634272258436773978e-08,-2.699820583783925643e-01,1.265329146370243277e-07,3.139716791502926707e+00,1.704227796292227750e-07,-1.679528399590313111e-06,1.470800973471567824e-02,2.157327084788556829e-06,1.065026048857036856e-03,7.511074142285258225e-06,-1.681143618120832517e-02,1.011640439170663700e-05,-6.574012049283977678e-05,5.757010910955279170e-01,8.444212228329174401e-05,4.168726220822070727e-02,2.939985529657809793e-04,-6.580334339567638358e-01,3.959764204209432624e-04
5.999999999999999778e-02,-4.857934844199405353e-08,-9.995745796677416584e-01,6.239938793583887523e-08,-2.699691947623274468e-01,2.172533004030970996e-07,3.139513739323338548e+00,2.926109103273958000e-07,-2.397814781815477880e-06,2.099820590207935114e-02,3.079954333834850062e-06,1.520507306450351358e-03,1.072334627391642689e-05,-2.400120783231879731e-02,1.444290194507830988e-05,-7.786099898164755670e-05,6.818463630957972699e-01,1.000111948049082225e-04,4.937337893524962329e-02,3.482047319272521665e-04,-7.793587864929152342e-01,4.689848365962387714e-04
7.000000000000000666e-02,-7.664836185378757025e-08,-9.993287729742643677e-01,9.845358201277519753e-08,-2.699513955810474153e-01,3.427816575825337061e-07,3.139232779246833083e+00,4.616806864736080326e-07,-3.235630185309300545e-06,2.833514471983780009e-02,4.156114678876449547e-06,2.051784556107009473e-03,1.447016806908569270e-05,-3.238741921814914521e-02,1.948936583899748895e-05,-8.964641929626612586e-05,7.850539520579180586e-01,1.151493767234430950e-04,5.684677422577249367e-02,4.009106973653404774e-04,-8.973263311538187681e-01,5.399726673813559077e-04
8.000000000000000167e-02,-1.136792464379075112e-07,-9.990044851497290601e-01,1.460191547690846426e-07,-2.699279134793431956e-01,5.083886933037398062e-07,3.138862114271431913e+00,6.847310400889165739e-07,-4.189634864820738428e-06,3.668957928411265002e-02,5.381518271115248948e-06,2.656739991608446805e-03,1.873660374331745696e-05,-4.193664076753933490e-02,2.523567958508977238e-05,-1.010993487348657891e-04,8.853498432825176456e-01,1.298604794854388007e-04,6.410932970908889139e-02,4.521297194316939677e-04,-1.011965769457968234e+00,6.089577858817744015e-04
8.999999999999999667e-02,-1.608173198656985052e-07,-9.985916863884691796e-01,2.065672482430211631e-07,-2.698980221859861861e-01,7.191964203579474066e-07,3.138390280205792138e+00,9.686606319659084684e-07,-5.256518748080451421e-06,4.603252254403181198e-02,6.751913376218566607e-06,3.333274623029095982e-03,2.350785021365260456e-05,-5.261573992451427234e-02,3.166190542603555932e-05,-1.122227545956168648e-04,9.827600220702225053e-01,1.441483145374376838e-04,7.116292701449837554e-02,5.018750682779603680e-04,-1.123306802923856651e+00,6.759580652029736035e-04
1.000000000000000056e-01,-2.191749474507207054e-07,-9.980806354560617377e-01,2.815266777018395588e-07,-2.698610163255656946e-01,9.801794842143813528e-07,3.137806142699054224e+00,1.320169638979250826e-06,-6.433001435800814049e-06,5.633524730172952827e-02,8.263086374319154014e-06,4.079308276736389252e-03,2.876923709864853023e-05,-6.439188114828389708e-02,3.874828433557010580e-05,-1.230196041766898069e-04,1.077310473721660999e+00,1.580166933259823461e-04,7.800944777130058849e-02,5.501600140557883845e-04,-1.231379133069979703e+00,7.409913784504337320e-04
1.100000000000000006e-01,-2.898318388785660173e-07,-9.974618770907974774e-01,3.722843127864485654e-07,-2.698162112303256754e-01,1.296166490035420977e-06,3.137098894270690774e+00,1.745761541396234404e-06,-7.715832201675890909e-06,6.756928621234625787e-02,9.910861760015177599e-06,4.892779595390750469e-03,3.450622671837908092e-05,-7.723252591324299143e-02,4.647523601848338747e-05,-1.334928647762548390e-04,1.169027183537459269e+00,1.714694272976150370e-04,8.465077360879502688e-02,5.969978269168253141e-04,-1.336212461414829411e+00,8.040755987296339209e-04
1.199999999999999956e-01,-3.738353449366755715e-07,-9.967262394051504826e-01,4.801854586560659301e-07,-2.697629427520022438e-01,1.671841329691766644e-06,3.136258051340354847e+00,2.251744910187324343e-06,-9.101789992381454459e-06,7.970643178402868345e-02,1.169110214237022382e-05,5.771646037945596386e-03,4.070441409443456598e-05,-9.110543270897124291e-02,5.482335891062019111e-05,-1.436455036924824691e-04,1.257936136818245565e+00,1.845103278988783854e-04,9.108878615628136777e-02,6.424017770127199174e-04,-1.437836489476901347e+00,8.652285991460547136e-04
