t,q1,q2,q3,q4,q5,q6,q7,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6,qdot7,u1,u2,u3,u4,u5,u6,u7
0.000000000000000000e+00,0.000000000000000000e+00,-1.570000000000000062e+00,0.000000000000000000e+00,-7.000000000000000666e-02,0.000000000000000000e+00,3.140000000000000124e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,1.653853723668964030e-15,-1.569996422615897336e+00,-3.884200318401697823e-15,-7.000000000000000666e-02,2.086893866619874169e-15,3.140001220019787098e+00,1.324048213228635926e-15,4.946966783243943538e-13,1.070058377830101007e-03,-1.161832493382276348e-12,-1.180597895996827974e-03,6.242265860986414426e-13,3.649293329144813578e-04,3.960460611791451970e-13,4.946966783243943538e-13,1.070058377830101007e-03,-1.161832493382276348e-12,-1.180597895996827974e-03,6.242265860986414426e-13,3.649293329144813578e-04,3.960460611791451970e-13
2.000000000000000042e-02,1.311434959662762897e-14,-1.569971632880772239e+00,-3.080004002158544736e-14,-7.000000000000000666e-02,1.654817191280760537e-14,3.140009674232837167e+00,1.049913357062168158e-14,1.955531911159686843e-12,4.229931989311572042e-03,-4.592714315218055506e-12,-4.666893797810925913e-03,2.467562573989429155e-12,1.442562659303983251e-03,1.565566830867336223e-12,1.955531911159686843e-12,4.229931989311572042e-03,-4.592714315218055506e-12,-4.666893797810925913e-03,2.467562573989429155e-12,1.442562659303983251e-03,1.565566830867336223e-12
2.999999999999999889e-02,4.386966487648614582e-14,-1.569905107302129732e+00,-1.030312196555118756e-13,-7.000000000000000666e-02,5.535636752584607886e-14,3.140032361906275327e+00,3.512133543817383010e-14,4.347932768350988566e-12,9.404837527461875485e-03,-1.021144832915008258e-11,-1.037637910898767460e-02,5.486382560253217270e-12,3.207396116112344944e-03,3.480883787232479947e-12,4.347932768350988566e-12,9.404837527461875485e-03,-1.021144832915008258e-11,-1.037637910898767460e-02,5.486382560253217270e-12,3.207396116112344944e-03,3.480883787232479947e-12
4.000000000000000083e-02,1.030643093396520827e-13,-1.569777065760704637e+00,-2.420543107432978721e-13,-7.000000000000000666e-02,1.300503617400837958e-13,3.140076028789564599e+00,8.251159862317066487e-14,7.637738683812673769e-12,1.652088365333943126e-02,-1.793780586696687337e-11,-1.822752934348574258e-02,9.637581477722273064e-12,5.634230034249745889e-03,6.114648540364850352e-12,7.637738683812673769e-12,1.652088365333943126e-02,-1.793780586696687337e-11,-1.822752934348574258e-02,9.637581477722273064e-12,5.634230034249745889e-03,6.114648540364850352e-12
5.000000000000000278e-02,1.995032489220231292e-13,-1.569568462590781088e+00,-4.685484404666744463e-13,-7.000000000000000666e-02,2.517405865994490442e-13,3.140147170156448286e+00,1.597190346934123806e-13,1.179120145552838338e-11,2.550507099604361685e-02,-2.769252672860271475e-11,-2.813980412567709463e-02,1.487857459548028424e-11,8.698168938592706206e-03,9.439842832277091457e-12,1.179120145552838338e-11,2.550507099604361685e-02,-2.769252672860271475e-11,-2.813980412567709463e-02,1.487857459548028424e-11,8.698168938592706206e-03,9.439842832277091457e-12
5.999999999999999778e-02,3.416560293596796601e-13,-1.569260977660511536e+00,-8.024049763474441368e-13,-7.000000000000000666e-02,4.311142285199639851e-13,3.140252033846887336e+00,2.735242232964374270e-13,1.677498524555101986e-11,3.628529215271476122e-02,-3.939731918213764651e-11,-4.003364719034696595e-02,2.116729751886234194e-11,1.237462154798408404e-02,1.342977853690420955e-11,1.677498524555101986e-11,3.628529215271476122e-02,-3.939731918213764651e-11,-4.003364719034696595e-02,2.116729751886234194e-11,1.237462154798408404e-02,1.342977853690420955e-11
7.000000000000000666e-02,5.376608998295773351e-13,-1.568837007452237309e+00,-1.262737210928938988e-12,-7.000000000000000666e-02,6.784404316522588120e-13,3.140396623309001711e+00,4.304425134787461299e-13,2.255616658000274841e-11,4.879033168853414565e-02,-5.297485996379749690e-11,-5.383048638269389424e-02,2.846220618945495774e-11,1.663930077523307488e-02,1.805809766010357722e-11,2.255616658000274841e-11,4.879033168853414565e-02,-5.297485996379749690e-11,-5.383048638269389424e-02,2.846220618945495774e-11,1.663930077523307488e-02,1.805809766010357722e-11
8.000000000000000167e-02,7.953289365902396582e-13,-1.568279656142807177e+00,-1.867890046457477110e-12,-7.000000000000000666e-02,1.003575501244085577e-12,3.140586700641008200e+00,6.367273250050241981e-13,2.910223434907499616e-11,6.294986613672401421e-02,-6.834879427795383416e-11,-6.945273365832969892e-02,3.672227688509605636e-11,2.146822372711521335e-02,2.329877233965494022e-11,2.910223434907499616e-11,6.294986613672401421e-02,-6.834879427795383416e-11,-6.945273365832969892e-02,3.672227688509605636e-11,2.146822372711521335e-02,2.329877233965494022e-11
8.999999999999999667e-02,1.122148166622450845e-12,-1.567572726683898132e+00,-2.635449679563822272e-12,-7.000000000000000666e-02,1.415968107002832899e-12,3.140827789633162226e+00,8.983734496773668559e-13,3.638108980702845381e-11,7.869446399854751473e-02,-8.544373579712400528e-11,-8.682378508327943945e-02,4.590700621987496274e-11,2.683771170437236966e-02,2.912610484526039649e-11,3.638108980702845381e-11,7.869446399854751473e-02,-8.544373579712400528e-11,-8.682378508327943945e-02,4.590700621987496274e-11,2.683771170437236966e-02,2.912610484526039649e-11
1.000000000000000056e-01,1.525287691269949690e-12,-1.566700711882333952e+00,-3.582253285944642649e-12,-7.000000000000000666e-02,1.924664486458041382e-12,3.141125178809696550e+00,1.221120352654502912e-12,4.436104657219310146e-11,9.595558574330889656e-02,-1.041852666619711748e-10,-1.058680208339815992e-01,5.597641114413246666e-11,3.272439020171277746e-02,3.551472757854444458e-11,4.436104657219310146e-11,9.595558574330889656e-02,-1.041852666619711748e-10,-1.058680208339815992e-01,5.597641114413246666e-11,3.272439020171277746e-02,3.551472757854444458e-11
1.100000000000000006e-01,2.011601809880117726e-12,-1.565648785480405314e+00,-4.724398705043960371e-12,-7.000000000000000666e-02,2.538313648323912361e-12,3.141483924470759970e+00,1.610455473771015798e-12,5.301083062696812457e-11,1.146655838083531498e-01,-1.244999374813041568e-10,-1.265108051972877734e-01,6.689102894446068383e-11,3.910518890781097129e-02,4.243960307305389806e-11,5.301083062696812457e-11,1.146655838083531498e-01,-1.244999374813041568e-10,-1.265108051972877734e-01,6.689102894446068383e-11,3.910518890781097129e-02,4.243960307305389806e-11
1.199999999999999956e-01,2.587634143444678791e-12,-1.564402793236189027e+00,-6.077254124734622585e-12,-7.000000000000000666e-02,3.265172575861830698e-12,3.141908853734358242e+00,2.071617528856571881e-12,6.229958031782204650e-11,1.347577025990664146e-01,-1.463152673320776345e-10,-1.486784865704629810e-01,7.861191724370324324e-11,4.595734170530785256e-02,4.987602399425798891e-11,6.229958031782204650e-11,1.347577025990664146e-01,-1.463152673320776345e-10,-1.486784865704629810e-01,7.861191724370324324e-11,4.595734170530785256e-02,4.987602399425798891e-11
1.300000000000000044e-01,3.259621758240384570e-12,-1.562949244003867921e+00,-7.655467765999746054e-12,-7.000000000000000666e-02,4.113111430242869889e-12,3.142404567578293229e+00,2.609599811055138421e-12,7.219684635529257661e-11,1.561660784888756481e-01,-1.695597437593920441e-10,-1.722983974611854152e-01,9.110065400095509983e-11,5.325838667081065486e-02,5.779961313954827703e-11,7.219684635529257661e-11,1.561660784888756481e-01,-1.695597437593920441e-10,-1.722983974611854152e-01,9.110065400095509983e-11,5.325838667081065486e-02,5.779961313954827703e-11
1.400000000000000133e-01,4.033499289469713051e-12,-1.561275300814050526e+00,-9.472977567614183176e-12,-7.000000000000000666e-02,5.089618753910313746e-12,3.142975443882103370e+00,3.229153492144213447e-12,8.267259181398677180e-11,1.788257398192488468e-01,-1.941628227764935619e-10,-1.972988544875466932e-01,1.043193375115626960e-10,6.098616607489294045e-02,6.618632343823872137e-11,8.267259181398677180e-11,1.788257398192488468e-01,-1.941628227764935619e-10,-1.972988544875466932e-01,1.043193375115626960e-10,6.098616607489294045e-02,6.618632343823872137e-11
1.499999999999999944e-01,4.914903064901555876e-12,-1.559368771954090294e+00,-1.154302087082597345e-11,-7.000000000000000666e-02,6.201806673942162320e-12,3.143625640469002391e+00,3.934790923854042404e-12,9.369719213258086206e-11,2.026726068996949071e-01,-2.200549288647741168e-10,-2.236091583780515368e-01,1.182305864071237999e-10,6.911882638209462804e-02,7.501243795156560877e-11,9.369719213258086206e-11,2.026726068996949071e-01,-2.200549288647741168e-10,-2.236091583780515368e-01,1.182305864071237999e-10,6.911882638209462804e-02,7.501243795156560877e-11
1.600000000000000033e-01,5.909175228511917409e-12,-1.557218102048405273e+00,-1.387814410403781392e-11,-7.000000000000000666e-02,7.456416105413658021e-12,3.144359098147818443e+00,4.730788939186850351e-12,1.052414351138204120e-10,2.276434920077637092e-01,-2.471674549737714169e-10,-2.511595939716181336e-01,1.327975396554877256e-10,7.763481825092195809e-02,8.425456987268763159e-11,1.052414351138204120e-10,2.276434920077637092e-01,-2.471674549737714169e-10,-2.511595939716181336e-01,1.327975396554877256e-10,7.763481825092195809e-02,8.425456987268763159e-11
