x,y,z,q1,q2,q3,q4,q5,q6,q7
-4.422348874263353630e-02,-3.203849501519545617e-02,7.816764202252768357e-02,7.935560163405059875e-01,-8.112716206961210208e-01,-2.659599402313687744e+00,-3.021400565778884495e+00,1.815087765926377994e+00,3.423175770759733005e+00,6.178476847950400419e-01
-2.404296314524452249e-01,-1.531840846633208963e-01,1.077025970492269780e+00,1.329703074341286761e+00,1.537344699241502965e-01,2.520809623426328638e+00,-6.226234840812820970e-01,-2.881133130014161825e+00,3.214556718458548623e+00,-2.702405176680139576e+00
-6.140688881428210122e-01,-3.206426810445898168e-01,3.286690391809807821e-01,1.330623656615096184e+00,-1.142989592996582093e+00,2.104258676095243086e+00,-1.446074878032475697e+00,-1.160469306226392439e+00,1.576108136693974648e+00,-2.732915825383187336e+00
-1.197069771055197379e-03,-6.484800813524503882e-01,7.368736560278532632e-01,-2.176902695961526302e+00,6.012804373803533053e-01,8.528160300612048772e-01,-1.224229280444757206e+00,-6.739722506066474494e-01,3.741484247989536271e+00,2.785959952869477174e+00
-3.235394438512974036e-01,5.372881017969265427e-01,3.871091749383471781e-01,1.075030258081144829e+00,5.302184895677846121e-01,1.091860356928026743e+00,-1.903846806638709532e+00,-2.114250849900149110e+00,2.702289554191493970e+00,1.469029444243559190e-01
7.764013592897497928e-02,1.775337602486558586e-01,1.155253675803487923e+00,-1.099458573011410811e+00,-4.991619547677528246e-02,2.256692512218107627e+00,-2.679354086152945236e-01,-8.239346302676469058e-01,2.137095932020468769e+00,-1.032088748105991050e+00
-1.973671627237357784e-01,-2.796938737586090462e-01,1.116227330443364973e+00,5.463743749770433311e-01,-5.712008413128624174e-01,-6.279595109398337094e-01,-3.992866696336179189e-01,-1.580848903067597844e+00,2.331792348321693797e+00,-2.410215099283662177e+00
-1.282935267487107511e-01,6.294490226205645689e-01,8.071682288155382912e-01,1.927340191503786659e+00,1.011734435590120107e+00,-1.510093447298835212e+00,-4.406708233370775218e-01,-2.557656806338703959e+00,1.249825201196594016e+00,-2.026280768811302480e+00
-1.090889062065888981e-01,-1.050313617615926537e-01,3.711895179615517515e-01,-2.877337096340313316e-01,1.044246728492424836e+00,-1.560659041090227239e+00,-2.914884075505706829e+00,-5.530266400740657673e-01,7.311956647553833344e-01,-2.371176853682807728e+00
-1.057751035147652674e-01,4.629569944556847227e-01,5.357913574629713516e-01,4.654458444078128920e-01,-7.093948279461168571e-01,9.965383228791462322e-01,-2.472254152651391923e+00,2.561603362274647910e+00,1.359100224114758726e+00,-2.285760350170090049e+00
6.224573359976206532e-01,4.841363131622278826e-01,1.939068527373699891e-01,7.480526300210752488e-01,1.505292645011164776e+00,-3.454547655767474801e-01,-2.062739284340975310e-01,-6.036554937733917825e-04,1.585686687056165667e+00,6.965167409770991469e-01
-6.271808317967465518e-01,2.794770106871826143e-01,-9.488614835165609662e-02,2.868589151333468035e+00,1.582077510480685234e+00,-2.314984628430973856e-01,-7.970557352298173193e-01,-1.493290234473576561e-02,1.977977531781627496e+00,1.655842349935800595e+00
6.327078579506365541e-01,-1.528880427411911935e-01,8.746931749757554941e-01,-4.944840088332433936e-01,8.263201069834824608e-01,1.223361835072610315e+00,-2.738888804732519944e-01,-2.231080322770435220e+00,2.730657976260610020e+00,2.476494242450699712e+00
6.450244717196890187e-01,-1.943216407532039613e-01,2.223474536167409088e-01,2.711164344423401484e+00,-1.710174981302038599e+00,2.106930682882865558e+00,-1.264336847609004444e-01,2.649075780665922419e+00,5.436915621042847091e-01,2.738411347290200748e+00
-3.421861953775445775e-03,2.656947280981600823e-01,-4.307527042410338319e-02,2.259286609844696425e+00,1.136045368261780375e+00,-1.159499694574201989e-01,-2.373648868162449244e+00,1.749096073093876047e+00,3.463785172223896591e+00,-1.355041202338456596e+00
-2.048354514821765782e-01,9.506799055630799078e-02,1.123266942828898829e-01,2.255859577629508728e-01,-2.017390306937509870e-01,2.497314328794811633e+00,-2.949427355723508004e+00,1.344243897634112894e+00,2.298572767750768353e+00,-2.732651074532258750e+00
-5.072352443103244068e-01,-3.533253700438413469e-01,2.281079992073675455e-01,1.270159363758132987e+00,-1.705645145158932285e+00,1.494568107653143851e+00,-1.532211071490503729e+00,2.486229855297853231e+00,2.320649301530377517e-01,1.977592318074148370e+00
1.370108529667981578e-01,1.400065095641275792e-01,1.031472632832453051e+00,-2.510598089203414318e+00,-5.486516346942629241e-01,-4.038491470942537909e-01,-1.718476955670054096e-01,3.605712938716800764e-01,9.586606516612435902e-01,-1.496730912537365121e+00
4.615789164115245979e-01,1.276829497301734395e-01,1.317252826714538083e-01,2.248757549899287778e+00,-9.660361342573489107e-01,-2.175330034390367206e+00,-2.205719398220259642e+00,4.989970375249739298e-01,2.071367102691046291e+00,1.794464235638633998e+00
-3.495342900666940089e-01,-3.060352569368141040e-01,9.918468838515117625e-01,3.503976659238405844e-01,-7.456036403444141758e-01,-5.046785905069075540e-01,-6.158189661162976059e-01,7.329784432600519040e-01,3.597763635326659326e+00,-7.566708421348011804e-01
-3.476252748854958829e-01,3.033750774257797933e-01,4.136399534086089846e-01,3.048310919603380853e-01,3.309888864848051782e-01,2.017999260745697132e+00,-2.634433911902218206e+00,-5.416791088813543986e-01,3.412635326505196964e+00,-2.647470447635824620e+00
-1.384398009086019177e-01,-8.894200394694636025e-03,3.557687812683627548e-01,1.869760187371622084e+00,-2.981866523038043670e-01,1.910884290701326815e+00,-3.041126363017316869e+00,-7.819225619485798973e-01,2.793566100772967853e-01,8.842488552944831603e-01
5.374959626876942703e-02,2.013630452924695113e-01,6.334888851993855097e-01,-1.310318322714165484e+00,7.141458970050869048e-01,2.571385467702473893e+00,-2.690421876113995747e+00,2.113525443552085381e+00,2.071203873816757635e-01,-6.908156748467066954e-01
-1.734082274744563335e-01,3.359218069117937966e-01,9.469242233879255899e-01,-4.068890895313268530e-01,-3.929419695887181874e-02,2.760622693297441810e+00,-7.431507445064129413e-01,-1.107480440404601696e+00,1.000014844552515658e+00,2.103918463072906864e+00
1.243546481053621616e-01,8.188801538098589017e-02,1.004954953400974071e+00,2.209293758842175048e+00,3.772972553580600241e-02,-9.021505348042875294e-01,-8.525303816908547105e-02,-1.066423098139545056e+00,6.716429561742138787e-01,2.202288514835780031e+00
-2.342030920619256606e-01,3.451015675198709221e-01,1.041564546953807957e+00,1.809671296656605310e+00,5.916422652334416554e-01,2.656048582521453039e+00,-2.929305537795290348e-01,1.438351828130362886e+00,3.226983612585196948e+00,-1.465031786573709249e+00
3.728274713860155187e-01,-3.097708196834060845e-01,2.980090916129999323e-01,-2.078617449315422583e+00,5.992979569858341016e-01,1.243499801377637493e+00,-2.569674160724401357e+00,-6.051411596303486462e-01,3.413753982868310111e+00,3.557560471859915197e-01
-1.276271872735211810e-01,1.223508370116072608e-01,9.256229804301508990e-01,4.538782910828240702e-01,-1.077886680332843294e+00,1.507729084919686713e-01,-1.500172383087845285e+00,-2.381706900413099959e+00,3.683942010394555489e+00,4.136661090407569574e-01
-6.794371372555592370e-02,-2.933059744846606143e-01,8.649397554085325179e-01,-2.859866933842986736e+00,9.608157851182692610e-01,2.771071545989804097e+00,-1.300800045008827510e+00,-1.044764599378238845e+00,6.897165805780213210e-01,9.996193169143405832e-01
-7.426246928450140616e-02,-2.674419111581077813e-01,1.120578007953970223e+00,-1.766547733341271575e+00,2.737721332329359214e-01,5.923737879435515552e-01,-1.827682975337325821e-01,-2.478295051519893821e+00,1.867397572369333014e+00,1.414300794963664121e+00
4.830303545648888253e-02,5.912925228938146205e-01,8.879066981444990736e-01,-1.870148265689826728e+00,-3.944528371913542664e-01,-2.532583481951895976e+00,-8.926315278088936545e-01,-2.388472864115533500e+00,1.472100648801179856e+00,2.164190124713522234e+00
6.540217312204725797e-01,-6.652919356077011126e-02,3.144213096240143779e-01,-1.604918488704334401e-01,1.454079694150480773e+00,1.540723780179026559e+00,-3.241127957045906172e-01,-2.158826965570636691e+00,2.602585901911522170e-01,-2.489529686819950349e+00
-2.331532414217855342e-01,1.700268531150904983e-01,1.537545791987258159e-01,2.137141781448367528e+00,4.724626072203901295e-01,-1.986360612944571002e-02,-2.580206207994362622e+00,1.006611538191823474e+00,1.181607534790812819e+00,1.221837927762884579e+00
-4.027836815782842583e-02,1.748166824162295796e-01,2.966580572716309705e-01,-2.297012245427203503e-01,2.632378855891359670e-02,1.678323253872488596e+00,-2.792670827954334634e+00,4.563267682563738603e-01,7.263785163581285564e-01,1.785344340007813724e+00
7.928576555174791096e-01,-1.466736998126979552e-01,1.497886353165845952e-01,-6.462606666706793845e-02,1.722162354788196570e+00,-1.837026376828885699e+00,-1.809795604870738650e-01,1.743513310110280212e+00,1.796870811592187200e+00,1.816616367856807468e+00
-3.372826190456348905e-01,-6.233260094985176858e-02,4.187256920396205673e-01,5.959065569670278784e-01,5.466466295056240376e-01,2.396924279126611435e+00,-2.875123480349714544e+00,1.940921653734972718e+00,1.422059905692754089e+00,-1.010788700312518440e+00
-5.541251240045638182e-01,9.673577316834074125e-02,1.923512413148037448e-01,2.862391112390648917e+00,9.909153293171568677e-01,-8.380940591106833537e-02,-1.802692182329231674e+00,2.187402480621186474e+00,3.102052533779360854e-01,1.207578277558939650e+00
2.491875563818290173e-01,6.758737031834126663e-01,6.459095511398906808e-01,1.675361889747616129e+00,1.054368042119588456e+00,-1.029670716857414625e+00,-6.802858125790898214e-01,-1.591447007772396116e+00,1.348538665376340928e+00,-4.783056378878232096e-01
2.260756878329098774e-01,-1.393249799621099905e-01,4.331835793983848104e-01,2.399294451531734929e-01,-1.365149442635076538e+00,-5.391444430958602929e-01,-3.070097628989124416e+00,1.415941928456830201e+00,3.193720313210914430e+00,-2.092029851177575228e+00
2.547824881462699143e-01,6.016678185078639940e-01,7.978412095778868451e-01,1.180734747131826357e+00,1.131567283502707078e+00,2.791713302719173395e+00,-5.387845223314511323e-01,-4.397270233373893333e-01,3.675446742372895148e+00,2.746265641714545236e+00
-8.334497911421039074e-03,4.258258273892806534e-01,8.887178606776451328e-01,2.130441748815448122e-02,8.931456019696817350e-01,2.397775446498305651e+00,-1.642082637021772040e+00,2.107777480916510182e+00,2.627211925487198396e+00,-1.194002860883413009e+00
