t,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,ddq0,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6
0.000000000000000000e+00,0.000000000000000000e+00,-1.570000000000000062e+00,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,3.140000000000000124e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
9.996253075708349829e-04,-6.247658172317719532e-08,-1.569999968761709219e+00,-4.165105448211812139e-08,-1.000000520638180956e-01,6.247658172317719532e-08,3.139999916697891358e+00,8.330210896423624278e-08,-1.874297451695315728e-04,9.371487258476578642e-05,-1.249531634463543729e-04,-1.561914543079429593e-04,1.874297451695315728e-04,-2.499063268927087457e-04,2.499063268927087457e-04,-3.748594903390631283e-01,1.874297451695315642e-01,-2.499063268927087522e-01,-3.123829086158859125e-01,3.748594903390631283e-01,-4.998126537854175044e-01,4.998126537854175044e-01
1.999250615141669966e-03,-4.996721441244807250e-07,-1.569999750163928010e+00,-3.331147627496537637e-07,-1.000004163934534451e-01,4.996721441244807250e-07,3.139999333770474355e+00,6.662295254993075275e-07,-7.495784710171893208e-04,3.747892355085946604e-04,-4.997189806781262861e-04,-6.246487258476578035e-04,7.495784710171893208e-04,-9.994379613562525723e-04,9.994379613562525723e-04,-7.497189806781262567e-01,3.748594903390631283e-01,-4.998126537854175044e-01,-6.247658172317718250e-01,7.497189806781262567e-01,-9.996253075708350089e-01,9.996253075708350089e-01
2.998875922712505165e-03,-1.686165158221099821e-06,-1.569999156917420757e+00,-1.124110105480733214e-06,-1.000014051376318519e-01,1.686165158221099821e-06,3.139997751779789237e+00,2.248220210961466428e-06,-1.686446177542973678e-03,8.432230887714868388e-04,-1.124297451695315930e-03,-1.405371814619144587e-03,1.686446177542973678e-03,-2.248594903390631859e-03,2.248594903390631859e-03,-1.124578471017189329e+00,5.622892355085946647e-01,-7.497189806781262567e-01,-9.371487258476578486e-01,1.124578471017189329e+00,-1.499437961356252513e+00,1.499437961356252513e+00
3.998501230283339931e-03,-3.996534095030223292e-06,-1.569998001732952453e+00,-2.664356063353482336e-06,-1.000033304450791971e-01,3.996534095030223292e-06,3.139994671287873462e+00,5.328712126706964672e-06,-2.998032864746883776e-03,1.499016432373441888e-03,-1.998688576497922517e-03,-2.498360720622402713e-03,2.998032864746883776e-03,-3.997377152995845034e-03,3.997377152995845034e-03,-1.499437961356252513e+00,7.497189806781262567e-01,-9.996253075708350089e-01,-1.249531634463543650e+00,1.499437961356252513e+00,-1.999250615141670018e+00,1.999250615141670018e+00
4.998126537854174697e-03,-7.805357425569041694e-06,-1.569996097321287420e+00,-5.203571617046028078e-06,-1.000065044645213064e-01,7.805357425569041694e-06,3.139989592856766265e+00,1.040714323409205616e-05,-4.684338532628920700e-03,2.342169266314460350e-03,-3.122892355085946266e-03,-3.903615443857433049e-03,4.684338532628920700e-03,-6.245784710171892531e-03,6.245784710171892531e-03,-1.874297451695315475e+00,9.371487258476577376e-01,-1.249531634463543650e+00,-1.561914543079429674e+00,1.874297451695315475e+00,-2.499063268927087300e+00,2.499063268927087300e+00
5.997751845425010331e-03,-1.348721362085474781e-05,-1.569993256393189540e+00,-8.991475747236497972e-06,-1.000112393446840608e-01,1.348721362085474781e-05,3.139982017048505991e+00,1.798295149447299594e-05,-6.745363181189084449e-03,3.372681590594542225e-03,-4.496908787459389344e-03,-5.621135984324236029e-03,6.745363181189084449e-03,-8.993817574918778687e-03,8.993817574918778687e-03,-2.249156942034378659e+00,1.124578471017189329e+00,-1.499437961356252513e+00,-1.874297451695315697e+00,2.249156942034378659e+00,-2.998875922712505027e+00,2.998875922712505027e+00
6.997377152995845097e-03,-2.141668115190452297e-05,-1.569989291659424024e+00,-1.427778743460301362e-05,-1.000178472342932584e-01,2.141668115190452297e-05,3.139971444425130542e+00,2.855557486920602724e-05,-9.181106810427372422e-03,4.590553405213686211e-03,-6.120737873618248281e-03,-7.650922342022810352e-03,9.181106810427372422e-03,-1.224147574723649656e-02,1.224147574723649656e-02,-2.624016432373442065e+00,1.312008216186721032e+00,-1.749344288248961155e+00,-2.186680360311201721e+00,2.624016432373442065e+00,-3.498688576497922309e+00,3.498688576497922309e+00
7.997002460566679863e-03,-3.196833848973555870e-05,-1.569984015830755197e+00,-2.131222565982370467e-05,-1.000266402820747802e-01,3.196833848973555870e-05,3.139957375548680485e+00,4.262445131964740934e-05,-1.199156942034378809e-02,5.995784710171894044e-03,-7.994379613562524814e-03,-9.992974516953155584e-03,1.199156942034378809e-02,-1.598875922712504963e-02,1.598875922712504963e-02,-2.998875922712505027e+00,1.499437961356252513e+00,-1.999250615141670018e+00,-2.499063268927087300e+00,2.998875922712505027e+00,-3.998501230283340035e+00,3.998501230283340035e+00
8.996627768137515496e-03,-4.551676410536504989e-05,-1.569977241617947383e+00,-3.034450940357669315e-05,-1.000379306367544796e-01,4.551676410536504989e-05,3.139939310981193277e+00,6.068901880715338629e-05,-1.517675101093833058e-02,7.588375505469165290e-03,-1.011783400729221807e-02,-1.264729250911527346e-02,1.517675101093833058e-02,-2.023566801458443615e-02,2.023566801458443615e-02,-3.373735413051567988e+00,1.686867706525783994e+00,-2.249156942034378659e+00,-2.811446177542973324e+00,3.373735413051567988e+00,-4.498313884068757318e+00,4.498313884068757318e+00
9.996253075708349395e-03,-6.243653646981014061e-05,-1.569968781731765128e+00,-4.162435764654009600e-05,-1.000520304470581684e-01,6.243653646981014061e-05,3.139916751284706820e+00,8.324871529308019199e-05,-1.873665158221099122e-02,9.368325791105495612e-03,-1.249110105480732633e-02,-1.561387631850915704e-02,1.873665158221099122e-02,-2.498220210961465265e-02,2.498220210961465265e-02,-3.748594903390630506e+00,1.874297451695315253e+00,-2.499063268927086856e+00,-3.123829086158858459e+00,3.748594903390630506e+00,-4.998126537854173712e+00,4.998126537854173712e+00
1.099587838327918503e-02,-8.310223405408807319e-05,-1.569958448882972979e+00,-5.540148936939206235e-05,-1.000692518617117555e-01,8.310223405408807319e-05,3.139889197021261236e+00,1.108029787387841247e-04,-2.267127113416178216e-02,1.133563556708089108e-02,-1.511418075610785478e-02,-1.889272594513481673e-02,2.267127113416178216e-02,-3.022836151221570955e-02,3.022836151221570955e-02,-4.123454393729693024e+00,2.061727196864846512e+00,-2.748969595819795497e+00,-3.436211994774744483e+00,4.123454393729693024e+00,-5.497939191639590994e+00,5.497939191639590994e+00
1.199550369085002066e-02,-1.078884353292160425e-04,-1.569946055782335481e+00,-7.192562355281070406e-05,-1.000899070294410248e-01,1.078884353292160425e-04,3.139856148752894427e+00,1.438512471056214081e-04,-2.698060966679070166e-02,1.349030483339535083e-02,-1.798707311119379995e-02,-2.248384138899224560e-02,2.698060966679070166e-02,-3.597414622238759990e-02,3.597414622238759990e-02,-4.498313884068756430e+00,2.249156942034378215e+00,-2.998875922712504138e+00,-3.748594903390630506e+00,4.498313884068756430e+00,-5.997751845425008277e+00,5.997751845425008277e+00
1.299512899842085456e-02,-1.371697187662111826e-04,-1.569931415140616959e+00,-9.144647917747411267e-05,-1.001143080989718437e-01,1.371697187662111826e-04,3.139817107041645183e+00,1.828929583549482253e-04,-3.166466718009773584e-02,1.583233359004886792e-02,-2.110977812006515839e-02,-2.638722265008144538e-02,3.166466718009773584e-02,-4.221955624013031677e-02,4.221955624013031677e-02,-4.873173374407818947e+00,2.436586687203909474e+00,-3.248782249605212336e+00,-4.060977812006515641e+00,4.873173374407818947e+00,-6.497564499210424671e+00,6.497564499210424671e+00
1.399475430599169019e-02,-1.713206628360907356e-04,-1.569914339668581960e+00,-1.142137752240604678e-04,-1.001427672190300933e-01,1.713206628360907356e-04,3.139771572449551851e+00,2.284275504481209356e-04,-3.672344367408290206e-02,1.836172183704145103e-02,-2.448229578272193702e-02,-3.060286972840241954e-02,3.672344367408290206e-02,-4.896459156544387403e-02,4.896459156544387403e-02,-5.248032864746881465e+00,2.624016432373440733e+00,-3.498688576497920977e+00,-4.373360720622401665e+00,5.248032864746881465e+00,-6.997377152995841953e+00,6.997377152995841953e+00
1.499437961356252409e-02,-2.107158460098718219e-04,-1.569894642076995250e+00,-1.404772306732478542e-04,-1.001755965383415714e-01,2.107158460098718219e-04,3.139719045538653663e+00,2.809544613464957084e-04,-4.215693914874618642e-02,2.107846957437309321e-02,-2.810462609916412891e-02,-3.513078262395515766e-02,4.215693914874618642e-02,-5.620925219832825781e-02,5.620925219832825781e-02,-5.622892355085943983e+00,2.811446177542971991e+00,-3.748594903390629618e+00,-4.685743629238286800e+00,5.622892355085943983e+00,-7.497189806781259236e+00,7.497189806781259236e+00
1.599400492113335973e-02,-2.557298467585717382e-04,-1.569872135076620934e+00,-1.704865645057144379e-04,-1.002131082056321454e-01,2.557298467585717382e-04,3.139659026870988523e+00,3.409731290114288759e-04,-4.796515360408760281e-02,2.398257680204380141e-02,-3.197676906939174446e-02,-3.997096133673967017e-02,4.796515360408760281e-02,-6.395353813878348892e-02,6.395353813878348892e-02,-5.997751845425007389e+00,2.998875922712503694e+00,-3.998501230283338259e+00,-4.998126537854172824e+00,5.997751845425007389e+00,-7.997002460566676518e+00,7.997002460566676518e+00
1.699363022870419362e-02,-3.067372435532075099e-04,-1.569846631378223334e+00,-2.044914957021382767e-04,-1.002556143696276825e-01,3.067372435532075099e-04,3.139591017008595664e+00,4.089829914042765534e-04,-5.414808704010713736e-02,2.707404352005356868e-02,-3.609872469340476980e-02,-4.512340586675594317e-02,5.414808704010713736e-02,-7.219744938680953961e-02,7.219744938680953961e-02,-6.372611335764069906e+00,3.186305667882034953e+00,-4.248407557176046012e+00,-5.310509446470057959e+00,6.372611335764069906e+00,-8.496815114352092024e+00,8.496815114352092024e+00
1.799325553627503099e-02,-3.641126148647965961e-04,-1.569817943692567663e+00,-2.427417432431976856e-04,-1.003034271790540083e-01,3.641126148647965961e-04,3.139514516513513875e+00,4.854834864863953711e-04,-6.070573945680482475e-02,3.035286972840241237e-02,-4.047049297120322575e-02,-5.058811621400401137e-02,6.070573945680482475e-02,-8.094098594240645150e-02,8.094098594240645150e-02,-6.747470826103133312e+00,3.373735413051566656e+00,-4.498313884068755542e+00,-5.622892355085943983e+00,6.747470826103133312e+00,-8.996627768137511083e+00,8.996627768137511083e+00
1.899288084384586489e-02,-4.282305391643558327e-04,-1.569785884730418024e+00,-2.854870261095705190e-04,-1.003568587826369762e-01,4.282305391643558327e-04,3.139429025947780616e+00,5.709740522191410379e-04,-6.763811085418060254e-02,3.381905542709030127e-02,-4.509207390278709149e-02,-5.636509237848382620e-02,6.763811085418060254e-02,-9.018414780557418298e-02,9.018414780557418298e-02,-7.122330316442195830e+00,3.561165158221097915e+00,-4.748220210961463295e+00,-5.935275263701830006e+00,7.122330316442195830e+00,-9.496440421922926589e+00,9.496440421922926589e+00
1.999250615141669879e-02,-4.994655949229025432e-04,-1.569750267202538518e+00,-3.329770632819350649e-04,-1.004162213291024258e-01,4.994655949229025432e-04,3.139334045873436452e+00,6.659541265638701298e-04,-7.494520123223451236e-02,3.747260061611725618e-02,-4.996346748815636007e-02,-6.245433436019541540e-02,7.494520123223451236e-02,-9.992693497631272015e-02,9.992693497631272015e-02,-7.497189806781258348e+00,3.748594903390629174e+00,-4.998126537854171936e+00,-6.247658172317715142e+00,7.497189806781258348e+00,-9.996253075708343871e+00,9.996253075708343871e+00
2.099213145898753616e-02,-5.781923606114541597e-04,-1.569710903819694359e+00,-3.854615737409695844e-04,-1.004818269671762243e-01,5.781923606114541597e-04,3.139229076852517952e+00,7.709231474819391687e-04,-8.262701059096658196e-02,4.131350529548329098e-02,-5.508467372731107314e-02,-6.885584215913879980e-02,8.262701059096658196e-02,-1.101693474546221463e-01,1.101693474546221463e-01,-7.872049297120321754e+00,3.936024648560160877e+00,-5.248032864746881465e+00,-6.560041080933601165e+00,7.872049297120321754e+00,-1.049606572949376293e+01,1.049606572949376293e+01
2.199175676655837006e-02,-6.647854147010274096e-04,-1.569667607292649425e+00,-4.431902764673518774e-04,-1.005539878455841973e-01,6.647854147010274096e-04,3.139113619447065240e+00,8.863805529347037549e-04,-9.068353893037674196e-02,4.534176946518837098e-02,-6.045569262025117518e-02,-7.556961577531393082e-02,9.068353893037674196e-02,-1.209113852405023504e-01,1.209113852405023504e-01,-8.246908787459384271e+00,4.123454393729692136e+00,-5.497939191639589218e+00,-6.872423989549486301e+00,8.246908787459384271e+00,-1.099587838327917844e+01,1.099587838327917844e+01
2.299138207412920396e-02,-7.596193356626398333e-04,-1.569620190332168708e+00,-5.064128904417601780e-04,-1.006330161130521983e-01,7.596193356626398333e-04,3.138987174219116660e+00,1.012825780883520356e-03,-9.911478625046502011e-02,4.955739312523251006e-02,-6.607652416697669395e-02,-8.259565520872083622e-02,9.911478625046502011e-02,-1.321530483339533879e-01,1.321530483339533879e-01,-8.621768277798446789e+00,4.310884138899223395e+00,-5.747845518532297859e+00,-7.184806898165372324e+00,8.621768277798446789e+00,-1.149569103706459572e+01,1.149569103706459572e+01
2.399100738170004132e-02,-8.630687019673087546e-04,-1.569568465649016531e+00,-5.753791346448728283e-04,-1.007192239183060944e-01,8.630687019673087546e-04,3.138849241730710560e+00,1.150758269289745657e-03,-1.079207525512314580e-01,5.396037627561572902e-02,-7.194716836748767108e-02,-8.993396045935954375e-02,1.079207525512314580e-01,-1.438943367349753422e-01,1.438943367349753422e-01,-8.996627768137509307e+00,4.498313884068754653e+00,-5.997751845425006501e+00,-7.497189806781258348e+00,8.996627768137509307e+00,-1.199550369085001300e+01,1.199550369085001300e+01
